time [s];steps;f [Hz];FRCE [MW];aFRR FRCE (open loop) [MW];FCR P [MW];aFRR P [MW];mFRR P [MW];SB P [MW];P gen [MW];P gen schedule [MW];insufficient pos. aFRR;insufficient neg. aFRR;insufficient pos. mFRR;insufficient neg. mFRR;AEP [EUR/MWh]
286;;50;0;0;0;0;0;0;0;;False;False;False;False;0
287;;50;0;0;0;0;0;0;0;;False;False;False;False;0
288;;50;0;0;0;0;0;0;0;;False;False;False;False;0
289;;50;0;0;0;0;0;0;0;;False;False;False;False;0
290;;50;0;0;0;0;0;0;0;;False;False;False;False;0
291;;50;0;0;0;0;0;0;0;;False;False;False;False;0
292;;50;0;0;0;0;0;0;0;;False;False;False;False;0
293;;50;0;0;0;0;0;0;0;;False;False;False;False;0
294;;50;0;0;0;0;0;0;0;;False;False;False;False;0
295;;50;0;0;0;0;0;0;0;;False;False;False;False;0
296;;50;0;0;0;0;0;0;0;;False;False;False;False;0
297;;50;0;0;0;0;0;0;0;;False;False;False;False;0
298;;50;0;0;0;0;0;0;0;;False;False;False;False;0
299;;50;0;0;0;0;0;0;0;;False;False;False;False;0
300;;49.99961736111111;50;50;0;5.1000000000000005;0;0;0;;False;False;False;False;30
301;;49.99888619351852;50;50;0.5739583333301823;4.779800000000001;0;0;0;;False;False;False;False;30
302;;49.99824818615946;50;50.57395833333018;1.6707097222159462;5.050604149999679;0;0;0;;False;False;False;False;30
303;;49.99772053902274;50;51.670709722215946;2.6277207608131903;5.318027401699381;0;0;0;;False;False;False;False;29.999999999999996
304;;49.99728639;50;52.62772076081319;3.4191914658947553;5.574845778251795;0;0;0;;False;False;False;False;30
305;;49.996928912780845;50;53.419191465894755;4.070416209295047;5.818619089198224;0;0;0;;False;False;False;False;30
306;;49.996634094730126;50;54.07041620929505;4.606630829;6.0515565180590905;0;0;0;;False;False;False;False;30
307;;49.99639046178131;50;54.60663082873225;5.0488579048106885;6.275497979978264;0;0;0;;False;False;False;False;30
308;;49.99618864122904;50;55.04885790481069;5.414307328035051;6.4919834098652025;0;0;0;;False;False;False;False;30
309;;49.996020978099104;50;55.41430732803505;5.717038156440424;6.702271177;0;0;0;;False;False;False;False;29.999999999999996
310;;49.995881220510356;50;55.717038156440424;5.968532851344577;6.907389664818963;0;0;0;;False;False;False;False;30
311;;49.99576426250977;50;55.96853285134458;6.178169234466679;7.108179105848138;0;0;0;;False;False;False;False;30
312;;49.995665934027734;50;56.17816923446668;6.353606235339981;7.305326066687719;0;0;0;;False;False;False;False;30
313;;49.99558283;50;56.35360623533998;6.501098958398899;7.499391611285633;0;0;0;;False;False;False;False;30
314;;49.99551216692797;50;56.50109896;6.625756001401584;7.690834304163264;0;0;0;;False;False;False;False;30
315;;49.995451675133346;50;56.625756001401584;6.731749608039905;7.880028997264473;0;0;0;;False;False;False;False;30
316;;49.995399498633994;50;56.731749608039905;6.822487299981361;8.067282173234211;0;0;0;;False;False;False;False;30
317;;49.99535412216276;50;56.82248729998136;6.900752049;8.252844476306429;0;0;0;;False;False;False;False;30
318;;49.99531430816982;50;56.90075204900964;6.968816755861695;8.436920946300935;0;0;0;;False;False;False;False;30
319;;49.995279045917634;50;56.968816755861695;7.028537745274122;8.619679376751218;0;0;0;;False;False;False;False;30
320;;49.995247509906754;50;57.02853774527412;7.081431123548754;8.801257141;0;0;0;;False;False;False;False;30
321;;49.995219025922026;50;57.081431123548754;7.12873514;8.981766767;0;0;0;;False;False;False;False;30
322;;49.99519304330256;50;57.12873513986878;7.171461116961098;9.161300490840139;0;0;0;;False;False;False;False;30
323;;49.99516911;50;57.17146112;7.210435046165031;9.339933974173917;0;0;0;;False;False;False;False;30
324;;49.99514686555505;50;57.21043504616503;7.246331558253161;9.517729342157157;0;0;0;;False;False;False;False;30
325;;49.995126003046714;50;57.24633155825316;7.279701667425087;9.694737663;0;0;0;;False;False;False;False;30
326;;49.99510627970047;50;57.27970166742509;7.310995429929079;9.871000974403103;0;0;0;;False;False;False;False;30
327;;49.995087495340215;50;57.31099542992908;7.340580449291423;10.04655393644719;0;0;0;;False;False;False;False;30
328;;49.99506948645404;50;57.34058044929142;7.3687569896776495;10.221425184115756;0;0;0;;False;False;False;False;30
329;;49.99505211947387;50;57.36875698967765;7.3957703189364565;10.395638430024334;0;0;0;;False;False;False;False;30
330;;49.995035285286846;50;57.39577031893646;7.4218207891973975;10.569213365748306;0;0;0;;False;False;False;False;30
331;;49.995018894752874;50;57.42182079;7.447072069730609;10.742166397826725;0;0;0;;False;False;False;False;30
332;;49.99500287504368;50;57.44707206973061;7.471657870688375;10.914511248862912;0;0;0;;False;False;False;False;30
333;;49.99498716665301;50;57.471657870688375;7.495687434477816;11.08625944844253;0;0;0;;False;False;False;False;30
334;;49.994971720954794;50;57.495687434477816;7.519250020482815;11.257420734079233;0;0;0;;False;False;False;False;30
335;;49.994956498208914;50;57.519250020482815;7.542418567808795;11.428003378660941;0;0;0;;False;False;False;False;30
336;;49.99494146593252;50;57.542418567808795;7.565252686628554;11.598014457886471;0;0;0;;False;False;False;False;30
337;;49.99492659756986;50;57.565252686628554;7.5878011012200375;11.767460068681675;0;0;0;;False;False;False;False;30
338;;49.99491187140593;50;57.58780110122004;7.610103645212973;11.936345507583866;0;0;0;;False;False;False;False;30
339;;49.99489726967931;50;57.61010364521297;7.632192891101397;12.104675416433274;0;0;0;;False;False;False;False;30
340;;49.994882777857505;50;57.63219289;7.654095481029799;12.272453901361771;0;0;0;;False;False;False;False;30
341;;49.99486838404519;50;57.65409548;7.675833213742322;12.439684629970435;0;0;0;;False;False;False;False;30
342;;49.994854078500936;50;57.67583321374232;7.697423932214065;12.606370910707701;0;0;0;;False;False;False;False;30
343;;49.99483985324245;50;57.697423932214065;7.718882248596515;12.772515757691705;0;0;0;;False;False;False;False;30
344;;49.994825701724245;50;57.718882248596515;7.740220136;12.938121943656373;0;0;0;;False;False;False;False;30
345;;49.99481161857433;50;57.74022013631992;7.761447413631828;13.103192043199385;0;0;0;;False;False;False;False;30
346;;49.99479759937923;50;57.76144741363183;7.782572139;13.267728468102465;0;0;0;;False;False;False;False;30
347;;49.99478364050835;50;57.78257213850253;7.803600931151067;13.431733496180893;0;0;0;;False;False;False;False;30
348;;49.99476973897056;50;57.80360093115107;7.824539237471839;13.595209294848644;0;0;0;;False;False;False;False;30
349;;49.99475589229707;50;57.82453923747184;7.845391544158531;13.758157940369134;0;0;0;;False;False;False;False;30
350;;49.99474209844578;50;57.84539154415853;7.866161554392903;13.92058143357858;0;0;0;;False;False;False;False;30
351;;49.99472835572314;50;57.86616155;7.886852331;14.08248171273028;0;0;0;;False;False;False;False;30
352;;49.994714662720334;50;57.88685233132469;7.907466415289832;14.243860663987107;0;0;0;;False;False;False;False;30
353;;49.994701018261196;50;57.90746641528983;7.928005919;14.404720129997733;0;0;0;;False;False;False;False;30
354;;49.99468742135963;50;57.92800591949927;7.948472608205748;14.565061916899221;0;0;0;;False;False;False;False;30
355;;49.99467387118486;50;57.94847260820575;7.968867960556736;14.724887800041337;0;0;0;;False;False;False;False;30
356;;49.994660367033035;50;57.968867960556736;7.989193222712743;14.884199528665867;0;0;0;;False;False;False;False;30
357;;49.994646908304055;50;57.98919322271274;8.009449450447903;15.04299882972814;0;0;0;;False;False;False;False;30
358;;49.99463349448263;50;58.00944945;8.029637543916834;15.20128741102496;0;0;0;;False;False;False;False;30
359;;49.99462013;50;58.029637543916834;8.049758276058583;15.359066963749395;0;0;0;;False;False;False;False;30
360;;49.994606799835346;50;58.04975827605858;8.069812315799396;15.516339164581527;0;0;0;;False;False;False;False;30
361;;49.99459351827743;50;58.069812315799396;8.089800246981582;15.67310567739945;0;0;0;;False;False;False;False;30
362;;49.99458028;50;58.08980024698158;8.109722583849788;15.829368154677475;0;0;0;;False;False;False;False;30
363;;49.99456708516189;50;58.10972258384979;8.129579783702212;15.985128238634001;0;0;0;;False;False;False;False;30
364;;49.99455393308221;50;58.12957978370221;8.149372257165055;16.140387562172073;0;0;0;;False;False;False;False;30
365;;49.99454082367776;50;58.149372257165055;8.169100376687055;16.295147749644673;0;0;0;;False;False;False;False;30
366;;49.994527756738265;50;58.169100376687055;8.188764483;16.449410417493684;0;0;0;;False;False;False;False;30
367;;49.994514732067536;50;58.18876448;8.208364892603015;16.603177174761967;0;0;0;;False;False;False;False;30
368;;49.99450174948095;50;58.208364892603015;8.227901898695933;16.756449623526787;0;0;0;;False;False;False;False;30
369;;49.99448880880342;50;58.22790189869593;8.247375778569932;16.909229359245618;0;0;0;;False;False;False;False;30
370;;49.99447591;50;58.24737577856993;8.266786794873582;17.061517971050122;0;0;0;;False;False;False;False;30
371;;49.994463052513076;50;58.26678679487358;8.286135198446232;17.213317041986333;0;0;0;;False;False;False;False;30
372;;49.994450236584186;50;58.28613519844623;8.30542123;17.364628149210546;0;0;0;;False;False;False;False;30
373;;49.994437461930154;50;58.30542123038569;8.324645123721552;17.51545286415734;0;0;0;;False;False;False;False;30
374;;49.99442472840384;50;58.32464512372155;8.343807104768786;17.665792752677724;0;0;0;;False;False;False;False;30
375;;49.99441203586123;50;58.343807104768786;8.362907394236174;17.81564937515372;0;0;0;;False;False;False;False;30
376;;49.994399384160936;50;58.362907394236174;8.381946208153579;17.965024286595206;0;0;0;;False;False;False;False;30
377;;49.99438677316379;50;58.38194620815358;8.400923759;18.113919036724077;0;0;0;;False;False;False;False;30
378;;49.994374202732516;50;58.40092375859669;8.419840254315858;18.262335170042363;0;0;0;;False;False;False;False;30
379;;49.994361672731465;50;58.41984025431586;8.438695901226367;18.410274225894742;0;0;0;;False;False;False;False;30
